sElectionAbbr	lDistTypeHndl	szDistrictTypeOfficialDesc	lDistrictHndl	lParentDistHndl	sElecDistrictID	iElecSubDistrict	szElecDistrictName
2014June3 	42	Census Tract District (2010)	1279		ZT-824	0	2010 CT - 5077.01
2014June3 	6	City	1420	902	*520	8	San Jose-Council District 8
2014June3 	6	City	1421	902	*520	9	San Jose-Council District 9
2014June3 	6	City	1422	902	*520	10	San Jose-Council District 10
2014June3 	5	County Supervisor	1423		*401	0	1st Supervisorial District
2014June3 	5	County Supervisor	1424		*402	0	2nd Supervisorial District
2014June3 	5	County Supervisor	1425		*403	0	3rd Supervisorial District
2014June3 	5	County Supervisor	1426		*404	0	4th Supervisorial District
2014June3 	6	City	913		*599  	0	Unincorporated Area
2014June3 	6	City	914		*601	0	Stanford
2014June3 	18	Hospital District	919		HOSP01	0	El Camino Healthcare District
2014June3 	29	Open Space District	921		PK01	0	Mid-Peninsula Regional Open Space District
2014June3 	29	Open Space District	922	921	PK01	1	Mid-Peninsula Regional Open Space Dist-Ward 1
2014June3 	29	Open Space District	923	921	PK01	2	Mid-Peninsula Regional Open Space Dist-Ward 2
2014June3 	29	Open Space District	924	921	PK01	3	Mid-Peninsula Regional Open Space Dist-Ward 3
2014June3 	29	Open Space District	925	921	PK01	4	Mid-Peninsula Regional Open Space Dist-Ward 4
2014June3 	29	Open Space District	926	921	PK01	5	Mid-Peninsula Regional Open Space Dist-Ward 5
2014June3 	33	Recreation & Park District	927		PK02	0	Rancho Rinconada
2014June3 	32	Road Maintenance District	933		PK04	0	Overlook Road Maintenance District
2014June3 	30	Flood District	942		PK06	0	San Martin County Water District
2014June3 	22	Resource District	943		PK07	0	Guadalupe-Coyote Resource Conservation District
2014June3 	22	Resource District	944		PK08	0	Loma Prieta Resource District
2014June3 	29	Open Space District	945		PK09	0	Santa Clara County Open Space Authority
2014June3 	29	Open Space District	946	945	PK09	1	Santa Clara County Open Space Authority Dist- 1
2014June3 	29	Open Space District	947	945	PK09	2	Santa Clara County Open Space Authority Dist- 2
2014June3 	29	Open Space District	948	945	PK09	3	Santa Clara County Open Space Authority Dist- 3
2014June3 	29	Open Space District	949	945	PK09	4	Santa Clara County Open Space Authority Dist- 4
2014June3 	29	Open Space District	950	945	PK09	5	Santa Clara County Open Space Authority Dist- 5
2014June3 	29	Open Space District	951	945	PK09	6	Santa Clara County Open Space Authority Dist- 6
2014June3 	29	Open Space District	952	945	PK09	7	Santa Clara County Open Space Authority Dist- 7
2014June3 	28	Library District	953		PK10	0	North County Library Authority
2014June3 	28	Library District	954		PK11	0	Santa Clara County Library District Joint Powers Authority
2014June3 	24	Storm Water District	955		PK12	0	Pacheco Storm Water District
2014June3 	31	Water District	956		PK13	0	Pacheco Pass Water District
2014June3 	32	Road Maintenance District	957		PK15	0	Casa Loma-Loma Chiquita Road Maintenance District
2014June3 	11	Community College	967		SCC-1	0	Foothill-De Anza CCD
2014June3 	11	Community College	968		SCC-2	0	Gavilan CCD
2014June3 	11	Community College	969	968	SCC-2	1	Gavilan CCD TA #1
2014June3 	11	Community College	970	968	SCC-2	2	Gavilan CCD TA #2
2014June3 	11	Community College	971	968	SCC-2	3	Gavilan CCD TA #3
2014June3 	11	Community College	972		SCC-3	0	San Jose/Evergreen CCD
2014June3 	11	Community College	973	972	SCC-3	1	San Jose/Evergreen  CCD TA #1
2014June3 	11	Community College	974	972	SCC-3	2	San Jose/Evergreen CCD TA #2
2014June3 	11	Community College	975	972	SCC-3	3	San Jose/Evergreen CCD TA #3
2014June3 	11	Community College	976	972	SCC-3	4	San Jose/Evergreen CCD TA #4
2014June3 	11	Community College	977	972	SCC-3	5	San Jose/Evergreen CCD TA #5
2014June3 	11	Community College	978	972	SCC-3	6	San Jose/Evergreen CCD TA #6
2014June3 	11	Community College	979	972	SCC-3	7	San Jose/Evergreen CCD TA #7
2014June3 	11	Community College	980		SCC-4	0	West Valley-Mission CCD
2014June3 	11	Community College	1472	980	SCC-4	1	West Valley-Mission CCD TA #1
2014June3 	28	Library District	1480		PK14	0	Library Joint Powers Authority of Santa Clara County Community Facilities District No. 2013-1
2014June3 	11	Community College	984		SCC-5	0	Yosemite CCD TA #4
2014June3 	13	High School District	986		SHS-1	0	Campbell Union High SD
2014June3 	13	High School District	987		SHS-2	0	East Side Union High SD
2014June3 	13	High School District	988		SHS-3	0	Fremont Union High SD
2014June3 	13	High School District	989		SHS-6	0	Los Gatos-Saratoga Joint Union High SD
2014June3 	13	High School District	990		SHS-7	0	Mountain View-Los Altos Union High School District
2014June3 	13	High School District	991		SHS-8	0	San Benito High SD
2014June3 	12	Unified School District	996		SUS-1	0	Gilroy Unified SD
2014June3 	12	Unified School District	997		SUS-2	0	Morgan Hill Unified SD
