sElectionAbbr	lPrecinctHndl	sPrecinctID	lPrecinctPortionHndl	sPrecinctPortion	lDistrictHndl	sElecDistrictID	lSubDistrictHndl	iElecSubDistrict
2014June3 	2207	0001126	2207		945	PK09	949	4
2014June3 	2207	0001126	2207		1400	SA028	1400	0
2014June3 	2207	0001126	2207		980	SCC-4	980	0
2014June3 	2207	0001126	2207		980	SCC-4	1475	4
2014June3 	2207	0001126	2207		985	SE002	985	0
2014June3 	2207	0001126	2207		986	SHS-1	986	0
2014June3 	2207	0001126	2207		1405	SS015	1405	0
2014June3 	2207	0001126	2207		1032	SUS-U	1032	0
2014June3 	2207	0001126	2207		1039	SUT-03	1039	0
2014June3 	2207	0001126	2207		1242	ZT-787	1242	0
2014June3 	2208	0001127	2208		882	*0	882	0
2014June3 	2208	0001127	2208		1426	*404	1426	0
2014June3 	2208	0001127	2208		902	*520	902	0
2014June3 	2208	0001127	2208		902	*520	1413	1
2014June3 	2208	0001127	2208		1408	CG018	1408	0
2014June3 	2208	0001127	2208		934	PK05	934	0
2014June3 	2208	0001127	2208		934	PK05	1463	5
2014June3 	2208	0001127	2208		945	PK09	945	0
2014June3 	2208	0001127	2208		945	PK09	949	4
2014June3 	2208	0001127	2208		1400	SA028	1400	0
2014June3 	2208	0001127	2208		980	SCC-4	980	0
2014June3 	2208	0001127	2208		980	SCC-4	1474	3
2014June3 	2208	0001127	2208		985	SE002	985	0
2014June3 	2208	0001127	2208		986	SHS-1	986	0
2014June3 	2208	0001127	2208		1405	SS015	1405	0
2014June3 	2208	0001127	2208		1032	SUS-U	1032	0
2014June3 	2208	0001127	2208		1039	SUT-03	1039	0
2014June3 	2208	0001127	2208		1242	ZT-787	1242	0
2014June3 	2209	0001128	2209		882	*0	882	0
2014June3 	2209	0001128	2209		1426	*404	1426	0
2014June3 	2209	0001128	2209		902	*520	902	0
2014June3 	2209	0001128	2209		902	*520	1413	1
2014June3 	2209	0001128	2209		1408	CG018	1408	0
2014June3 	2209	0001128	2209		934	PK05	934	0
2014June3 	2209	0001128	2209		934	PK05	1463	5
2014June3 	2209	0001128	2209		945	PK09	945	0
2014June3 	2209	0001128	2209		945	PK09	949	4
2014June3 	2209	0001128	2209		1400	SA028	1400	0
2014June3 	2209	0001128	2209		980	SCC-4	980	0
2014June3 	2209	0001128	2209		980	SCC-4	1474	3
2014June3 	2209	0001128	2209		985	SE002	985	0
2014June3 	2209	0001128	2209		986	SHS-1	986	0
2014June3 	2209	0001128	2209		1405	SS015	1405	0
2014June3 	2209	0001128	2209		1032	SUS-U	1032	0
2014June3 	2209	0001128	2209		1039	SUT-03	1039	0
2014June3 	2209	0001128	2209		1242	ZT-787	1242	0
2014June3 	2210	0001129	2210		882	*0	882	0
2014June3 	2210	0001129	2210		1426	*404	1426	0
2014June3 	2210	0001129	2210		902	*520	902	0
2014June3 	2210	0001129	2210		902	*520	1413	1
2014June3 	2210	0001129	2210		1408	CG018	1408	0
2014June3 	2210	0001129	2210		934	PK05	934	0
2014June3 	2210	0001129	2210		934	PK05	1463	5
2014June3 	2210	0001129	2210		945	PK09	945	0
2014June3 	2210	0001129	2210		945	PK09	948	3
2014June3 	2210	0001129	2210		1400	SA028	1400	0
2014June3 	2210	0001129	2210		980	SCC-4	980	0
2014June3 	2210	0001129	2210		980	SCC-4	1474	3
2014June3 	2210	0001129	2210		985	SE002	985	0
2014June3 	2210	0001129	2210		986	SHS-1	986	0
2014June3 	2210	0001129	2210		1405	SS015	1405	0
2014June3 	2210	0001129	2210		1032	SUS-U	1032	0
2014June3 	2210	0001129	2210		1039	SUT-03	1039	0
2014June3 	2210	0001129	2210		1244	ZT-789	1244	0
2014June3 	2211	0001130	2211		882	*0	882	0
2014June3 	2211	0001130	2211		1426	*404	1426	0
2014June3 	2211	0001130	2211		902	*520	902	0
2014June3 	2211	0001130	2211		902	*520	1413	1
2014June3 	2211	0001130	2211		1408	CG018	1408	0
2014June3 	2211	0001130	2211		934	PK05	934	0
2014June3 	2211	0001130	2211		934	PK05	1463	5
2014June3 	2211	0001130	2211		945	PK09	945	0
2014June3 	2211	0001130	2211		945	PK09	948	3
2014June3 	2211	0001130	2211		1400	SA028	1400	0
2014June3 	2211	0001130	2211		980	SCC-4	980	0
2014June3 	2211	0001130	2211		980	SCC-4	1474	3
2014June3 	2211	0001130	2211		985	SE002	985	0
2014June3 	2211	0001130	2211		986	SHS-1	986	0
2014June3 	2211	0001130	2211		1405	SS015	1405	0
2014June3 	2211	0001130	2211		1032	SUS-U	1032	0
2014June3 	2211	0001130	2211		1039	SUT-03	1039	0
2014June3 	2211	0001130	2211		1244	ZT-789	1244	0
2014June3 	2212	0001131	2212		882	*0	882	0
