sElectionAbbr	iBalType	iContestID	iCalcCtstRotation
2014June3 	34	2604	1
2014June3 	34	2621	2
2014June3 	34	2624	2
2014June3 	34	3001	1
2014June3 	34	4410	1
2014June3 	34	4420	1
2014June3 	34	4430	2
2014June3 	34	5200	0
2014June3 	34	5203	0
2014June3 	35	1030	10
2014June3 	35	1040	1
2014June3 	35	1050	1
2014June3 	35	1060	1
2014June3 	35	1070	1
2014June3 	35	1080	4
2014June3 	35	1090	1
2014June3 	35	1100	2
2014June3 	35	1130	3
2014June3 	35	1310	0
2014June3 	35	2604	1
2014June3 	35	2621	2
2014June3 	35	2624	2
2014June3 	35	3001	1
2014June3 	35	4410	1
2014June3 	35	4420	1
2014June3 	35	4430	2
2014June3 	35	5200	0
2014June3 	36	1030	12
2014June3 	36	1040	3
2014June3 	36	1050	3
2014June3 	36	1060	3
2014June3 	36	1070	3
2014June3 	36	1080	6
2014June3 	36	1090	3
2014June3 	36	1100	1
2014June3 	36	1150	2
2014June3 	36	1320	0
2014June3 	36	2604	1
2014June3 	36	2621	1
2014June3 	36	2624	3
2014June3 	36	3001	3
2014June3 	36	4410	1
2014June3 	36	4420	1
2014June3 	36	4430	1
2014June3 	36	5200	0
2014June3 	36	5205	0
2014June3 	37	1030	12
2014June3 	37	1040	3
2014June3 	37	1050	3
2014June3 	37	1060	3
2014June3 	37	1070	3
2014June3 	37	1080	6
2014June3 	37	1090	3
2014June3 	37	1100	1
2014June3 	37	1150	2
2014June3 	37	1320	0
2014June3 	37	2604	1
2014June3 	37	2621	1
2014June3 	37	2624	3
2014June3 	37	3001	3
2014June3 	37	4410	1
2014June3 	37	4420	1
2014June3 	37	4430	1
2014June3 	37	5200	0
2014June3 	38	1030	12
2014June3 	38	1040	3
2014June3 	38	1050	3
2014June3 	38	1060	3
2014June3 	38	1070	3
2014June3 	38	1080	6
2014June3 	38	1090	3
2014June3 	38	1100	1
2014June3 	38	1150	2
2014June3 	38	1320	0
2014June3 	38	2604	1
2014June3 	38	2621	1
2014June3 	38	2624	3
2014June3 	38	3001	3
2014June3 	38	4410	1
2014June3 	38	4420	1
2014June3 	38	4430	1
2014June3 	38	5200	0
2014June3 	38	5207	0
2014June3 	39	1030	12
2014June3 	39	1040	3
2014June3 	39	1050	3
2014June3 	39	1060	3
2014June3 	39	1070	3
2014June3 	39	1080	6
2014June3 	39	1090	3
2014June3 	39	1100	1
2014June3 	39	1150	2
2014June3 	39	1320	0
2014June3 	39	2604	1
